,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,JLA Secret Files and Origins,1997,1,Issue,1997-09-01,Comicvine,6166,78349,JLA Secret Files and Origins,1997,1, ,https://comicvine.gamespot.com/jla-secret-files-and-origins-1-star-seed-the-secre/4000-78349/,243 days 00:00:00,DC Comics
2,JLA,1997,1,Issue,1997-01-01,Comicvine,5957,43302,JLA,1997,1, ,https://comicvine.gamespot.com/jla-1-them/4000-43302/,31 days 00:00:00,DC Comics
3,JLA,1997,2,Issue,1997-02-01,Comicvine,5957,109452,JLA,1997,2, ,https://comicvine.gamespot.com/jla-2-the-day-the-earth-stood-still/4000-109452/,28 days 00:00:00,DC Comics
4,JLA,1997,3,Issue,1997-03-01,Comicvine,5957,43508,JLA,1997,3, ,https://comicvine.gamespot.com/jla-3-war-of-the-worlds/4000-43508/,31 days 00:00:00,DC Comics
5,JLA,1997,4,Issue,1997-04-01,Comicvine,5957,43606,JLA,1997,4, ,https://comicvine.gamespot.com/jla-4-invaders-from-mars/4000-43606/,29 days 00:00:00,DC Comics
6,Superman,1987,122,Issue,1997-04-30,Comicvine,3816,116164,Superman,1987,122, ,https://comicvine.gamespot.com/superman-122-the-kandor-connection/4000-116164/,0 days 00:00:00,DC Comics
7,Adventures of Superman,1987,545,Issue,1997-04-30,Comicvine,3778,115441,Adventures of Superman,1987,545, ,https://comicvine.gamespot.com/adventures-of-superman-545-new-wife-new-powers-new/4000-115441/,0 days 00:00:00,DC Comics
8,Action Comics,1938,732,Issue,1997-04-30,Comicvine,18005,115435,Action Comics,1938,732, ,https://comicvine.gamespot.com/action-comics-732-the-saving-skull/4000-115435/,31 days 00:00:00,DC Comics
9,Superman: Man of Steel,1991,67,Issue,1997-05-31,Comicvine,4571,46640,Superman: The Man of Steel,1991,67, ,https://comicvine.gamespot.com/superman-the-man-of-steel-67-say-goodbye-to-that-c/4000-46640/,0 days 00:00:00,DC Comics
10,Superman,1987,123,Issue,1997-05-31,Comicvine,3816,70828,Superman,1987,123, ,https://comicvine.gamespot.com/superman-123-supermanreborn/4000-70828/,30 days 00:00:00,DC Comics
11,JLA,1997,5,Issue,1997-05-01,Comicvine,5957,43711,JLA,1997,5, ,https://comicvine.gamespot.com/jla-5-woman-of-tomorrow/4000-43711/,31 days 00:00:00,DC Comics
12,JLA,1997,6,Issue,1997-06-01,Comicvine,5957,43798,JLA,1997,6, ,https://comicvine.gamespot.com/jla-6-fire-in-the-sky/4000-43798/,30 days 00:00:00,DC Comics
13,JLA,1997,7,Issue,1997-07-01,Comicvine,5957,43909,JLA,1997,7, ,https://comicvine.gamespot.com/jla-7-heaven-on-earth/4000-43909/,31 days 00:00:00,DC Comics
14,JLA,1997,8,Issue,1997-08-01,Comicvine,5957,44003,JLA,1997,8, ,https://comicvine.gamespot.com/jla-8-imaginary-stories/4000-44003/,31 days 00:00:00,DC Comics
15,JLA,1997,9,Issue,1997-09-01,Comicvine,5957,44044,JLA,1997,9, ,https://comicvine.gamespot.com/jla-9-elseworlds/4000-44044/,0 days 00:00:00,DC Comics
16,JLA,1997,10,Issue,1997-09-01,Comicvine,5957,44142,JLA,1997,10, ,https://comicvine.gamespot.com/jla-10-rock-of-ages-prologue-genesis-and-revelatio/4000-44142/,153 days 00:00:00,DC Comics
17,Wonder Woman,1987,120,Issue,1997-04-01,Comicvine,3824,43569,Wonder Woman,1987,120, ,https://comicvine.gamespot.com/wonder-woman-120-time-out-of-mind/4000-43569/,30 days 00:00:00,DC Comics
18,Wonder Woman,1987,121,Issue,1997-05-01,Comicvine,3824,43673,Wonder Woman,1987,121, ,https://comicvine.gamespot.com/wonder-woman-121-stone-may-grow/4000-43673/,31 days 00:00:00,DC Comics
19,Wonder Woman,1987,122,Issue,1997-06-01,Comicvine,3824,43760,Wonder Woman,1987,122, ,https://comicvine.gamespot.com/wonder-woman-122-judgment-of-the-gods/4000-43760/,30 days 00:00:00,DC Comics
